our Find Largest Time (ns),Java's Find Largest Time (ns),Items (k)
1009412200,3873400,0
987895200,890500,1000
989626800,469300,2000
907787900,460800,3000
985555000,535900,4000
991314400,712000,5000
988891300,724300,6000
986171500,760500,7000
981970100,866900,8000
983782700,962700,9000
985214100,1029100,10000
987852900,1157800,11000
991775800,645000,12000
988313200,412000,13000
993861500,399400,14000
985579700,467400,15000
983491000,238600,16000
986397100,246400,17000
981942800,219200,18000
984902200,218100,19000
986797500,216700,20000
981985700,306700,21000
992582800,331600,22000
986417900,372000,23000
982401700,391800,24000
987681300,337200,25000
987995400,351400,26000
987445600,348700,27000
983155200,384200,28000
989151300,358300,29000
993623200,393800,30000
987283500,362200,31000
982735700,430200,32000
982474200,492500,33000
983650500,440400,34000
988310800,465800,35000
987001200,439500,36000
988574200,474000,37000
996431200,479500,38000
989336900,460000,39000
984390500,451600,40000
984811700,470500,41000
983273600,470100,42000
982876100,473700,43000
986702500,462300,44000
988619000,466700,45000
982363400,546600,46000
982151800,515400,47000
988477500,585200,48000
981782500,568700,49000
987694200,589800,50000
994162700,645000,51000
987988400,599600,52000
984651500,588500,53000
983592100,600100,54000
982652200,610400,55000
989079100,592900,56000
988265600,625400,57000
986413300,639800,58000
982428700,604300,59000
985841100,675500,60000
987307600,644200,61000
986071200,630400,62000
987856400,618200,63000
985586200,605000,64000
984447000,645500,65000
997082500,652800,66000
987224700,640500,67000
984461400,644200,68000
984006800,705500,69000
983583300,706600,70000
983099800,658300,71000
987040200,790700,72000
983009600,798500,73000
982563900,834200,74000
983688200,805200,75000
983402200,869400,76000
983050200,821700,77000
987771100,892900,78000
994117700,824100,79000
987928800,824800,80000
992716700,869800,81000
993067900,827500,82000
982972100,842400,83000
983554100,612500,84000
984715200,512100,85000
983331900,508100,86000
985092700,517300,87000
995665700,528400,88000
986200700,606100,89000
985596000,526600,90000
986717500,658600,91000
984472100,516500,92000
983307300,534700,93000
991633700,532100,94000
987951600,529000,95000
986248100,536600,96000
990196700,549800,97000
989367200,560700,98000
984654800,677900,99000
