n,withGrammar (ns)
1,1601300
1001,84599
2001,44378
3001,43883
4001,21574
5001,21475
6001,21653
7001,24473
8001,24116
9001,21429
10001,21542
11001,25707
12001,21917
13001,21337
14001,21163
15001,21030
16001,21117
17001,21651
18001,21817
19001,21167
20001,21387
21001,21127
22001,21239
23001,21033
24001,21085
25001,21011
26001,21231
27001,20984
28001,21012
29001,21533
30001,21195
31001,21025
32001,21020
33001,21029
34001,21022
35001,20981
36001,21215
37001,21781
38001,21297
39001,21500
40001,21026
41001,21759
42001,21036
43001,21488
44001,21263
45001,21164
46001,21221
47001,21056
48001,21126
49001,20940
50001,21143
51001,21257
52001,21022
53001,21102
54001,21036
55001,21089
56001,21005
57001,21136
58001,20892
59001,20887
60001,20982
61001,21179
62001,21142
63001,21054
64001,21468
65001,22353
66001,24513
67001,22377
68001,21422
69001,21263
70001,21129
71001,21248
72001,21655
73001,21151
74001,21321
75001,20949
76001,21182
77001,21233
78001,21225
79001,21019
80001,22271
81001,23605
82001,23626
83001,22530
84001,21926
85001,21646
86001,21119
87001,21307
88001,21213
89001,21446
90001,21367
91001,22233
92001,22236
93001,21410
94001,21068
95001,21126
96001,21072
97001,21139
98001,21252
99001,23272
