itemsInArray,timeQS(ns),timeMS(ns)
0,388,2642
100,61016,88954
200,112481,66627
300,152801,134943
400,287932,64537
500,454907,53560
600,420776,75417
700,97092,67235
800,106205,90852
900,128573,128679
1000,165547,125643
1100,225372,126252
1200,247979,127062
1300,295112,122019
1400,340636,193580
1500,366388,221756
1600,409608,173520
1700,436734,162120
1800,493064,187316
1900,576056,206974
2000,562851,192262
2100,671891,206831
2200,677365,223183
2300,755996,263648
2400,853563,267222
2500,937219,327586
2600,986548,293022
2700,1040343,264103
2800,1170509,363747
2900,1315365,285567
3000,1683657,380387
3100,1383072,339836
3200,1498801,332114
3300,1491988,342978
3400,1568429,355215
3500,1628814,353954
3600,1902791,378854
3700,2135762,441914
3800,1927786,399591
3900,2030547,382988
4000,2200385,457387
4100,2437743,445158
4200,2508340,434942
4300,2504737,459071
4400,2684752,532235
4500,2724262,514866
4600,2818048,501617
4700,3016845,527095
4800,3091651,507577
4900,3311491,527877
5000,3661636,584734
5100,3477035,564003
5200,3705121,737341
5300,3743666,574697
5400,3852953,566768
5500,4305346,768089
5600,4166482,680957
5700,4370017,593500
5800,4449006,733927
5900,4708350,668050
6000,4869678,661659
6100,4957188,639054
6200,5185101,692405
6300,5378920,670634
6400,5596776,735063
6500,5691344,688169
6600,5889772,880984
6700,6047205,706486
6800,6208955,751601
6900,6418485,738501
7000,6749699,770699
7100,6792873,842884
7200,6931099,877633
7300,7314464,848738
7400,7826382,819152
7500,7496377,879728
7600,7788521,864998
7700,7940417,890339
7800,8490563,928671
7900,8213217,918686
8000,8669472,1015075
8100,8630336,949623
8200,8931351,1030051
8300,10222864,919187
8400,9307319,1035574
8500,9730626,1015079
8600,9778114,1034925
8700,10123907,974966
8800,10674685,1067088
8900,10432977,1193631
9000,11375981,1266798
9100,11814926,1130435
9200,11049746,1182826
9300,11231217,1086962
9400,11714616,1216773
9500,12251342,1096430
9600,12220748,1187620
9700,13024474,1298079
9800,13191667,1401278
9900,13141214,1248665
