itemsInArray,time(ns),mergeThreshold,timesToLoop
0,13900,1,1
10,89800,1,1
20,133000,1,1
30,178900,1,1
40,137100,1,1
50,125400,1,1
60,138900,1,1
70,177200,1,1
80,180700,1,1
90,212700,1,1
0,2100,2,1
10,34600,2,1
20,89100,2,1
30,190900,2,1
40,254600,2,1
50,347200,2,1
60,454300,2,1
70,572500,2,1
80,504700,2,1
90,119800,2,1
0,1300,3,1
10,4800,3,1
20,10500,3,1
30,23100,3,1
40,32400,3,1
50,43200,3,1
60,66900,3,1
70,83000,3,1
80,116200,3,1
90,107700,3,1
0,200,4,1
10,4400,4,1
20,15000,4,1
30,14600,4,1
40,34100,4,1
50,51800,4,1
60,67400,4,1
70,73000,4,1
80,103000,4,1
90,119000,4,1
0,1200,5,1
10,3700,5,1
20,7400,5,1
30,16700,5,1
40,21900,5,1
50,36700,5,1
60,48400,5,1
70,59600,5,1
80,65800,5,1
90,105900,5,1
0,800,6,1
10,2600,6,1
20,7600,6,1
30,15100,6,1
40,21300,6,1
50,35700,6,1
60,49100,6,1
70,59200,6,1
80,68400,6,1
90,86600,6,1
0,700,7,1
10,4200,7,1
20,7300,7,1
30,15500,7,1
40,30000,7,1
50,42600,7,1
60,61600,7,1
70,65800,7,1
80,74700,7,1
90,81100,7,1
0,1300,8,1
10,3300,8,1
20,7800,8,1
30,34300,8,1
40,22800,8,1
50,29500,8,1
60,36000,8,1
70,55900,8,1
80,69100,8,1
90,77300,8,1
0,800,9,1
10,2900,9,1
20,7300,9,1
30,12200,9,1
40,21200,9,1
50,27500,9,1
60,36500,9,1
70,43800,9,1
80,69900,9,1
90,79400,9,1
0,2200,10,1
10,4100,10,1
20,6800,10,1
30,14600,10,1
40,17100,10,1
50,29400,10,1
60,36700,10,1
70,41000,10,1
80,58700,10,1
90,78100,10,1
0,700,15,1
10,2300,15,1
20,5500,15,1
30,10300,15,1
40,17300,15,1
50,21200,15,1
60,29000,15,1
70,45900,15,1
80,56000,15,1
90,61600,15,1
0,900,20,1
10,1300,20,1
20,7300,20,1
30,10400,20,1
40,14400,20,1
50,23500,20,1
60,30000,20,1
70,37600,20,1
80,52900,20,1
90,61300,20,1
0,8700,25,1
10,2500,25,1
20,3500,25,1
30,8500,25,1
40,13300,25,1
50,19800,25,1
60,29500,25,1
70,-15800,25,1
80,40000,25,1
90,46000,25,1
0,400,50,1
10,1800,50,1
20,3500,50,1
30,6800,50,1
40,10900,50,1
50,16200,50,1
60,22700,50,1
70,21900,50,1
80,35200,50,1
90,42100,50,1
0,300,75,1
10,1300,75,1
20,3300,75,1
30,7400,75,1
40,8500,75,1
50,12800,75,1
60,19500,75,1
70,25000,75,1
80,37600,75,1
90,47500,75,1
0,700,100,1
10,1400,100,1
20,3400,100,1
30,5000,100,1
40,8500,100,1
50,15000,100,1
60,19200,100,1
70,26500,100,1
80,31100,100,1
90,36800,100,1
0,300,200,1
10,1200,200,1
20,4800,200,1
30,6500,200,1
40,11600,200,1
50,14100,200,1
60,16500,200,1
70,26400,200,1
80,32600,200,1
90,38700,200,1
0,1400,300,1
10,1300,300,1
20,2900,300,1
30,5500,300,1
40,10600,300,1
50,15700,300,1
60,18400,300,1
70,26300,300,1
80,35600,300,1
90,39100,300,1
0,200,400,1
10,1700,400,1
20,4200,400,1
30,6500,400,1
40,9900,400,1
50,15300,400,1
60,22100,400,1
70,24900,400,1
80,31200,400,1
90,41700,400,1
0,300,500,1
10,1200,500,1
20,3800,500,1
30,5200,500,1
40,10100,500,1
50,18700,500,1
60,25200,500,1
70,38800,500,1
80,41800,500,1
90,46800,500,1
0,100,600,1
10,1200,600,1
20,3600,600,1
30,7200,600,1
40,9500,600,1
50,14000,600,1
60,19700,600,1
70,26100,600,1
80,29700,600,1
90,38100,600,1
0,200,700,1
10,1200,700,1
20,3100,700,1
30,6600,700,1
40,8900,700,1
50,9300,700,1
60,16600,700,1
70,28800,700,1
80,38100,700,1
90,40000,700,1
0,200,800,1
10,1400,800,1
20,2000,800,1
30,5900,800,1
40,9700,800,1
50,15200,800,1
60,21000,800,1
70,26700,800,1
80,33800,800,1
90,35300,800,1
0,200,900,1
10,1200,900,1
20,3400,900,1
30,5700,900,1
40,8800,900,1
50,17800,900,1
60,18900,900,1
70,25400,900,1
80,29400,900,1
90,38800,900,1
0,2500,1000,1
10,4800,1000,1
20,4600,1000,1
30,13400,1000,1
40,17500,1000,1
50,27700,1000,1
60,49900,1000,1
70,40200,1000,1
80,61800,1000,1
90,92500,1000,1
